seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,
1,False,100,False,False,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.666664,0.291501082341649,0.0899332342552893,3.0318685,9.458357,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,489.622167110443,485.824965953827,0.908926248550415,1.89954352378845,dopri5 avg
2,False,100,False,False,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.79245,0.29342224496435,0.0923121245987819,2.9753678,11.519265,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,395.575283527374,391.659185647964,0.829468965530396,1.90653109550476,409.003020197153
3,False,100,False,False,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.293645724908141,0.0896835633224977,3.4426253,4.101968,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,496.690420389175,492.624882936478,0.819349765777588,1.91000628471375,tsit5 avg
0,False,100,False,False,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.04402,0.324182734028279,0.096018690403477,4.675962,16.451666,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,553.409762859345,549.064815759659,0.879093170166016,1.87590956687927,542.512611627579
1,False,100,False,False,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.28931,0.294843614232654,0.0930259580404177,3.2535985,14.638657,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,658.222845315933,653.869660139084,0.770410537719727,1.87070941925049,bosh5 avg
2,False,100,False,False,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.918236,0.310874948849352,0.0943449072902226,3.9290423,12.175793,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,605.26166343689,600.649038314819,0.855412483215332,1.89291739463806,541.310594626835
3,False,100,False,False,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,86.918236,0.30097637050612,0.0938322464649704,3.5664485,21.311241,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,607.833048343658,603.031741857529,0.824642658233643,1.92344522476196,
0,False,100,False,False,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.037735,0.372918303358859,0.101711584412386,6.3414993,19.24449,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,516.759794712067,511.6521525383,0.902430772781372,1.93455290794373,
1,False,100,False,False,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.04402,0.344622560395116,0.0977827360522358,5.2081347,13.147217,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,698.629039525986,693.437255144119,0.799579858779907,1.97454190254211,
2,False,100,False,False,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.79245,0.343378818069388,0.100950982885075,6.1188645,21.92002,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,640.599791288376,635.168869256973,0.881409645080566,1.94095802307129,
